GEOID20,ADJ_GEOMS
04013000040,"['04013000431', '04013000249', '04013000248', '04013000311', '04013000502', '04013000667']"
04013000041,"['04013000469', '04013000580', '04013000339', '04013000481', '04013000627', '04013000320', '04013000726']"
04013000042,"['04013000129', '04013000255', '04013000443', '04013000595', '04013000569', '04013000235', '04013000128']"
04013000043,"['04013000333', '04013000430', '04013000020', '04013000521', '04013000030', '04013000384', '04013000285']"
04013000044,"['04013000479', '04013000560', '04013000090', '04013000251']"
04013000045,"['04013000390', '04013000478', '04013000110', '04013000453', '04013000048', '04013000554']"
04013000046,"['04013000491', '04013000434', '04013000528']"
04013000047,"['04013000084', '04013000300', '04013000542', '04013000385', '04013000649', '04013000204', '04013000290', '04013000620', '04013000548']"
04013000048,"['04013000045', '04013000525', '04013000123', '04013000453', '04013000283']"
04013000049,"['04013000662', '04013000439', '04013000677', '04013000168', '04013000183', '04013000352', '04013000714', '04013000250', '04013000444']"
04013000050,"['04013000175', '04013000653', '04013000591', '04013000736', '04013000623', '04013000675', '04013000106', '04013000142', '04013000421']"
04013000051,"['04013000182', '04013000269', '04013000206', '04013000277', '04013000603']"
04013000052,"['04013000663', '04013000430', '04013000004', '04013000552', '04013000343']"
04013000053,"['04021000042', '04013000022', '04013000455', '04013000226', '04013000163']"
04013000054,"['04013000206', '04013000629', '04013000603', '04013000153', '04013000303']"
04013000055,"['04013000480', '04013000699', '04013000131', '04013000432', '04013000173', '04013000064']"
04013000056,"['04013000278', '04013000663', '04013000732', '04013000169']"
04013000057,"['04013000150', '04013000629', '04013000130', '04013000347', '04013000303']"
04013000058,"['04013000407', '04013000585', '04013000491', '04013000434']"
04013000059,"['04013000002', '04013000023', '04013000273', '04013000020', '04013000089', '04013000706']"
04013000060,"['04013000179', '04013000506', '04013000208', '04013000507', '04013000375']"
04013000061,"['04021000061', '04013000640', '04013000101', '04013000005', '04013000025', '04013000724', '04013000364']"
04013000062,"['04013000256', '04013000369', '04013000687', '04013000316']"
04013000063,"['04013000324', '04013000346', '04013000227', '04013000543']"
04013000064,"['04013000055', '04013000148', '04013000599', '04013000373', '04013000109', '04013000547']"
04013000065,"['04021000062', '04013000256', '04013000428', '04013000493', '04013000524', '04013000228', '04013000707']"
04013000066,"['04013000451', '04013000705', '04013000426', '04013000187']"
04013000067,"['04013000182', '04013000740']"
04013000068,"['04013000362', '04013000300', '04013000363', '04013000103', '04013000582', '04013000542']"
04013000069,"['04013000340', '04013000397', '04013000398', '04013000479', '04013000259', '04013000560', '04013000090']"
04013000070,"['04013000571', '04013000108', '04013000361', '04013000577', '04013000584']"
04013000071,"['04013000476', '04013000686', '04013000039', '04013000332']"
04013000072,"['04013000628', '04013000145', '04013000643', '04013000656']"
04013000073,"['04013000390', '04013000116', '04013000115', '04013000587', '04013000263', '04013000460', '04013000199']"
04013000074,"['04013000265', '04013000038', '04013000729', '04013000243', '04013000294']"
04013000075,"['04013000448', '04013000725', '04013000152', '04013000374']"
04013000076,"['04013000354', '04013000546', '04013000237', '04013000605', '04013000618', '04013000119', '04013000617']"
04013000077,"['04013000216', '04013000006', '04013000590', '04013000578', '04013000353']"
04013000078,"['04013000301', '04013000674', '04013000558', '04013000494', '04013000512']"
04013000079,"['04013000011', '04013000414', '04013000348', '04013000085']"
04013000080,"['04013000026', '04013000668', '04013000419', '04013000365', '04013000262']"
04013000081,"['04013000175', '04013000736', '04013000593', '04013000436', '04013000438', '04013000432']"
04013000082,"['04025000046', '04013000266', '04013000625', '04013000540', '04013000271', '04013000700']"
04013000083,"['04013000455', '04013000488', '04013000517', '04013000372', '04013000035']"
04013000084,"['04013000221', '04013000601', '04013000392', '04013000326', '04013000720', '04013000204', '04013000047', '04013000295']"
04013000085,"['04013000011', '04013000079', '04013000348', '04013000705', '04013000681', '04013000097']"
04013000086,"['04013000625', '04013000377', '04013000271', '04013000096', '04013000666']"
04013000087,"['04013000678', '04013000630', '04013000424', '04013000550', '04013000693']"
04013000088,"['04013000202', '04013000565', '04013000165', '04013000331']"
04013000089,"['04013000002', '04013000015', '04013000273', '04013000059', '04013000510', '04013000628']"
04013000090,"['04013000479', '04013000069', '04013000560', '04013000044']"
04013000091,"['04013000128', '04013000154', '04013000187', '04013000135', '04013000105', '04013000194', '04013000708']"
04013000092,"['04013000548', '04013000459', '04013000614', '04013000360']"
04013000093,"['04013000707', '04013000635', '04013000670', '04013000575']"
04013000094,"['04013000494', '04013000275', '04013000512', '04013000201']"
04013000095,"['04013000447', '04013000208', '04013000148', '04013000169', '04013000109']"
04013000096,"['04013000625', '04013000377', '04013000086', '04013000113', '04013000527']"
04013000097,"['04013000348', '04013000085', '04013000681', '04013000717', '04013000498', '04013000280']"
