GEOID20,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
4019000091,6203,3497,2028,407,417,118,60,4960,3097,1411,205,76,83,55,6095,3290,1817,561,404,242,62,4924,2905,1300,377,316,180,27,4924,2905,1300,280,114,83,19,17,206
4019000179,3946,3522,216,4,31,156,71,3342,3036,145,0,23,70,0,4244,3498,455,52,84,140,10,3576,3035,345,35,58,86,9,3576,3035,345,21,50,12,1,6,106
4019000065,24,20,2,0,0,1,0,19,14,0,0,0,0,0,29,17,5,0,2,0,0,21,16,0,0,0,0,0,21,16,0,0,0,0,0,0,5
4019000044,3153,1970,773,158,80,210,2,2941,1882,745,133,32,141,2,3594,2331,744,186,143,265,12,3296,2200,642,149,111,244,7,3296,2200,642,88,151,31,0,11,173
4019000066,6751,652,5530,506,401,111,9,3645,646,2599,265,104,35,0,7001,797,5284,670,497,143,19,5029,690,3656,458,359,112,12,5029,690,3656,376,78,116,5,16,92
4019000078,2845,2169,425,101,32,129,0,2350,1885,305,37,8,102,0,2562,1835,381,70,54,241,9,2270,1674,306,47,43,193,5,2270,1674,306,33,145,10,2,5,95
4019000113,6311,2800,2764,595,294,157,9,4494,2404,1740,224,12,109,0,6214,2485,2667,656,268,304,52,4815,2137,1875,440,203,228,32,4815,2137,1875,330,154,49,24,17,229
4019000128,3346,2368,604,188,240,49,11,2658,1993,423,174,32,57,10,3255,2234,630,187,120,115,16,2717,1953,468,138,82,82,12,2717,1953,468,108,56,22,9,16,85
4019000121,2571,1722,732,40,9,43,28,2017,1615,316,43,7,38,0,2564,1841,394,144,51,116,10,2205,1662,281,112,36,88,5,2205,1662,281,106,64,11,3,22,56
4019000041,11846,2571,8259,692,970,401,0,7266,2086,4459,212,204,319,0,12919,2510,9008,585,1108,306,53,9000,2088,5951,387,689,227,32,9000,2088,5951,304,139,293,22,40,163
4019000197,4055,2018,1396,425,47,353,0,3291,1855,878,315,5,195,0,3537,2226,827,278,120,172,19,2927,1966,595,193,94,124,14,2927,1966,595,149,71,12,4,14,116
4019000225,8430,3987,3514,548,495,558,3,5694,3261,1798,317,175,168,0,8174,4345,3043,255,307,377,34,6306,3686,2036,142,231,272,26,6306,3686,2036,101,190,63,13,32,185
4019000205,2808,2638,143,9,0,12,0,2746,2606,126,10,0,19,0,3366,3112,152,24,39,36,11,3305,3086,130,19,27,29,8,3305,3086,130,9,29,0,3,5,43
4019000051,5469,278,4807,138,870,99,6,2942,241,2470,58,136,71,0,4647,281,4112,151,278,42,10,3362,234,2950,81,193,32,9,3362,234,2950,58,14,69,3,4,30
4019000004,1833,69,25,29,1723,0,10,1170,62,8,5,1089,0,6,1616,13,65,6,1595,2,4,1151,13,26,3,1132,1,3,1151,13,26,2,0,1100,0,0,10
