GEOID20,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_adjtot,Wh_2020_adjtot,His_2020_adjtot,BlC_2020_adjtot,NatC_2020_adjtot,AsnC_2020_adjtot,PacC_2020_adjtot,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
2402121-004,4795,2554,603,1183,63,461,15,3418,1938,394,736,45,328,10,4798,2556,603,1177,57,464,15,3418,1938,394,658,292,3,6,18,109
2402101-001,3951,3110,239,307,63,202,6,3073,2459,186,212,47,142,5,3952,3110,239,308,62,199,6,3073,2459,186,164,97,9,0,17,141
2402101-003,2704,2077,275,173,52,90,7,2005,1564,196,136,32,50,0,2706,2079,275,175,52,91,7,2005,1564,196,111,36,1,0,11,86
2403318-001,4164,72,588,3479,103,29,5,3263,66,404,2769,88,26,3,4174,72,588,3476,90,29,3,3263,66,404,2676,12,18,0,15,72
2403320-007,2061,22,558,1478,65,24,3,1506,16,339,1151,45,11,1,2071,22,558,1474,35,22,3,1506,16,339,1106,1,1,0,3,40
2403320-018,3765,73,620,2795,54,293,4,2523,54,397,1932,35,146,4,3769,73,620,2792,43,293,4,2523,54,397,1868,120,3,0,15,66
2403317-003,15919,255,13918,1502,1877,311,22,11134,185,9537,1200,1366,255,16,15943,257,13935,1588,750,323,23,11134,185,9537,1068,207,17,4,46,70
2403312-001,3572,209,1457,1458,81,462,18,2688,184,940,1184,71,374,18,3578,209,1458,1457,77,459,18,2688,184,940,1113,350,0,4,17,80
2403312-002,2697,106,850,1640,49,103,9,2113,102,560,1372,39,81,9,2702,106,850,1652,44,103,9,2113,102,560,1320,62,2,7,10,50
2403302-005,5119,198,3911,1001,293,59,12,3630,160,2647,798,222,50,8,5122,198,3912,995,232,58,12,3630,160,2647,709,36,7,1,3,67
2403302-097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2403302-098,36,0,31,3,1,2,0,26,0,22,3,1,1,0,36,0,31,3,1,2,0,26,0,22,2,0,0,0,0,2
2403316-001,1612,178,959,449,59,23,6,1165,149,646,349,42,14,4,1614,178,960,452,55,23,5,1165,149,646,305,6,1,2,15,41
2403319-001,7010,1185,4003,1459,351,383,16,5103,1015,2622,1178,254,294,10,7019,1186,4010,1495,201,394,14,5103,1015,2622,1070,259,4,0,24,109
2403319-004,4935,156,3641,1111,252,80,2,3363,136,2362,862,173,59,2,4943,156,3643,1122,162,81,2,3363,136,2362,754,41,4,0,19,47
2403313-014,6164,120,354,5533,101,236,8,4651,107,229,4159,69,180,3,6169,120,354,5519,95,235,8,4651,107,229,3986,156,5,1,25,142
2403313-020,1020,12,168,834,27,13,0,721,10,96,606,21,11,0,1026,12,168,835,24,13,0,721,10,96,582,7,4,0,1,21
2403313-005,4159,554,215,3330,50,114,5,3442,539,152,2691,40,97,4,4165,554,215,3306,46,112,5,3442,539,152,2563,76,9,1,8,94
2403313-013,2446,65,108,2245,47,49,4,2008,52,80,1847,35,44,4,2447,65,108,2245,46,49,4,2008,52,80,1754,35,3,0,7,77
2403313-012,4144,81,195,3808,49,136,5,3343,75,134,3077,35,106,4,4150,81,195,3801,49,136,3,3343,75,134,2906,94,3,0,27,104
2403306-010,4386,131,380,3815,88,117,6,3514,123,266,3059,75,108,2,4394,131,380,3747,83,114,6,3514,123,266,2912,78,7,0,8,120
2403318-007,3841,73,548,3229,73,38,4,2863,62,356,2446,58,25,4,3859,73,548,3214,61,35,3,2863,62,356,2342,17,10,2,6,68
2400902-008,4767,3528,221,712,135,188,12,3582,2690,121,552,98,127,3,4779,3536,221,709,131,187,11,3582,2690,121,492,91,17,0,6,165
2400902-005,4083,3276,164,360,111,146,11,3151,2571,105,269,81,97,3,4086,3278,164,362,111,146,10,3151,2571,105,238,69,2,0,18,148
2400902-002,4361,2840,247,1065,94,132,9,3289,2211,157,760,70,80,2,4372,2842,247,1068,93,132,9,3289,2211,157,714,53,15,1,16,122
2402115-002,4900,4410,179,96,107,80,1,3939,3616,114,56,75,58,1,4905,4415,179,99,109,81,1,3939,3616,114,46,41,8,0,17,97
2402126-001,5111,3983,404,415,113,197,9,3811,3056,265,273,83,129,5,5115,3986,405,418,113,198,9,3811,3056,265,223,93,8,1,25,140
2400111-000,1138,1044,13,28,8,38,4,916,849,7,21,6,25,4,1140,1045,13,30,8,39,4,916,849,7,18,25,1,4,0,12
2400123-000,2734,2208,89,331,77,39,5,2113,1784,58,194,51,27,1,2746,2214,89,337,77,39,5,2113,1784,58,133,22,7,0,1,108
2400106-001,1759,1493,32,165,26,40,1,1428,1244,28,102,17,30,0,1760,1494,32,164,26,40,1,1428,1244,28,78,24,3,0,7,44
2400106-099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400122-001,2348,1961,60,245,63,45,1,1984,1669,44,198,46,34,1,2352,1963,60,242,59,45,1,1984,1669,44,165,22,2,0,7,75
2400122-002,119,107,6,3,1,0,0,100,95,1,0,0,0,0,119,107,6,3,1,0,0,100,95,1,0,0,0,0,0,4
